college_id,major_category,program_label,entry_year,class_year,metric_scope,applicant_scope,applicants,admits,admit_rate,enrolled_or_spots,overall_admit_rate,selectivity_ratio,is_direct_admit_rate,is_undergrad_first_year,source_tier,source_url,source_note,data_quality
uc_berkeley,Engineering,College of Engineering,2024,2028,first_year_college_admit_rate,all_applicants,,,0.060,,0.114,0.526,true,true,official,https://engineering.berkeley.edu/wp-content/uploads/2025/02/2025-Undergrad-Facts-Brochure_web.pdf,"Berkeley Engineering official 2025 undergraduate facts brochure reports College of Engineering first-year admit rate 6% for the 2023-24 admission cycle; UC Admissions reports Berkeley campus overall 11.4%. Entry year stored as Fall 2024; class year as Class of 2028.",0.88
uc_berkeley,Computer Science,Computer Science,2025,2029,first_year_major_admit_rate,all_applicants,,,0.065,,0.114,0.570,true,true,institution_adjacent,https://www.sfchronicle.com/projects/2026/uc-acceptance-rate-gpa-by-major/,"San Francisco Chronicle reports UC Berkeley Computer Science admit rate 6.5% for Fall 2025 using UC/CSU data; reconcile with UC official discipline dashboard before treating as official. Entry year is Fall 2025; class year is Class of 2029.",0.68
uw_seattle,Computer Science,Direct to Major Computer Science / Computer Engineering,2025,,three_year_average_direct_to_major_admit_rate,international_or_nonresident,,,0.020,,0.390,0.051,true,true,official,https://admit.washington.edu/apply/first-year/by-the-numbers/,"UW official first-year by-the-numbers page reports Direct to Major CS/CE 3-year average admit rate 2% for non-Washington residents and overall non-Washington admit rate 39%. Entry year stores the latest reviewed page year; class year is blank because the source is a 3-year average.",0.92
umich,Business,Ross BBA first-year applicants,2025,2029,first_year_applicants_and_admitted_count,all_applicants,13019,924,0.071,,0.164,0.433,true,true,official,https://michiganross.umich.edu/undergraduate/bba/admissions/first-year-applicants,"Michigan Ross official Fall 2025 admitted profile reports 13,019 applicants and 924 admitted students; admit rate computed as 924/13,019. Entry year is Fall 2025; class year is Class of 2029. Overall rate uses current app seed for UMich.",0.90
gatech,Computer Science,College of Computing CS/CM combined,2025,2029,first_year_offers_for_cs_and_computational_media,all_applicants,13711,1547,0.113,,0.127,0.890,true,true,official,https://www.cc.gatech.edu/news/2025-enrollment-roundup-undergraduate-enrollment-in-computing-remains-popular,"Georgia Tech College of Computing reports Fall 2025 cycle 13,711 CS/CM applications and 1,547 first-year offers; scope combines CS and Computational Media. Entry year is Fall 2025; class year is Class of 2029.",0.82
purdue,Aviation,Flight,2025,2029,first_year_major_admit_rate,all_applicants,,,0.077,,0.434,0.177,true,true,official,https://admissions.purdue.edu/become-student/class-profile/,"Purdue official class profile reports Flight 7.7% and university admit rate 43.4%. Entry year is Fall 2025; class year is Class of 2029.",0.94
purdue,Nursing,Nursing,2025,2029,first_year_major_admit_rate,all_applicants,,,0.289,,0.434,0.666,true,true,official,https://admissions.purdue.edu/become-student/class-profile/,"Purdue official class profile reports Nursing 28.9% and university admit rate 43.4%. Entry year is Fall 2025; class year is Class of 2029.",0.92
purdue,Engineering,College of Engineering,2025,2029,first_year_college_admit_rate,all_applicants,,,0.347,,0.434,0.799,true,true,official,https://admissions.purdue.edu/become-student/class-profile/,"Purdue official class profile reports College of Engineering 34.7% and university admit rate 43.4%. Entry year is Fall 2025; class year is Class of 2029.",0.92
upenn,Business,Wharton School,2024,2028,undergraduate_business_school_acceptance_rate,all_applicants,,,0.045,,0.049,0.918,true,true,reputable_secondary,https://poetsandquantsforundergrads.com/admissions/acceptance-graduation-rates-at-the-best-undergraduate-business-schools/,"Poets&Quants reports Wharton acceptance rate 4.5% for the fall 2024 incoming class; treat as reputable secondary until verified against Penn official school-level data. Entry year is Fall 2024; class year is Class of 2028.",0.66
nyu,Business,Stern School of Business,2024,2028,undergraduate_business_school_acceptance_rate,all_applicants,,,0.048,,0.077,0.623,true,true,reputable_secondary,https://poetsandquantsforundergrads.com/admissions/acceptance-graduation-rates-at-the-best-undergraduate-business-schools/,"Poets&Quants reports NYU Stern acceptance rate 4.8% for fall 2024; Washington Square News separately reports Stern below 5% for NYU Class of 2029. Entry year is Fall 2024; class year is Class of 2028.",0.70
nyu,Nursing,Rory Meyers College of Nursing,2025,2029,class_of_2029_school_below_five_percent,all_applicants,,,0.050,,0.077,0.649,false,true,institution_adjacent,https://nyunews.com/news/2025/03/27/nyu-admission-rate-class-of-2029/,"Washington Square News reports NYU Rory Meyers Nursing acceptance rate below 5% for Class of 2029, citing NYU; stored at 5% as a conservative upper-bound proxy. Entry year is Fall 2025; class year is Class of 2029.",0.62
cornell,Business,Dyson School of Applied Economics and Management,2025,2029,undergraduate_division_acceptance_rate,all_applicants,,,0.054,,0.084,0.643,true,true,reputable_secondary,https://www.collegetransitions.com/blog/cornell-university-inside-the-numbers/,"College Transitions reports Cornell Dyson admitted 5.4% of applicants in Fall 2025 and identifies it as Cornell's most selective undergraduate division; verify against Cornell IR before treating as official. Entry year is Fall 2025; class year is Class of 2029.",0.68
cmu,Computer Science,School of Computer Science,2025,2029,estimated_school_specific_admit_rate,all_applicants,,,0.050,,0.111,0.450,false,true,consultant_estimate,https://orieladmissions.com/best-colleges-for-computer-science/,"Oriel estimates CMU SCS below 5% while CMU overall is about 11%; current pass did not find public SCS applicant/admit denominators, so this is a low-confidence proxy. Entry year is Fall 2025; class year is Class of 2029.",0.48
